KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	FUNCTIONAL.GROUP	REFERENCE	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Asterostroma	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	"James TY, et al. 2006. Nature 443:818-822}"
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	ECM.NOPEROX	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	Hypogeous	Common name - false truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Trichoglossum	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hortiboletus	ECM.NOPEROX	Floudas et al. 2012; Kohler et al. 2015; Nagy et al. 2016	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Kuehneromyces	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	OTHER	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	SAP.NONLIG	Nguyen et al. 2016; Entwistle et al. 2018	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Possible	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae	Rectipilus	SAP.NONLIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	SAP.LIG	Entwistle et al. 2018	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	Probable	Agaricoid	NULL	"Often one of the most prominent fungal components of tropical forests, playing a major role in nutrient cycling (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; David AS, et al. 2016. Microbial Ecology 71:912-926}"
Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hymenogaster	ECM.NOPEROX	Nguyen et al. 2016	Symbiotroph	Ectomycorrhizal	Possible	Gasteroid	Hypogeous	Common name - false truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)}"
Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pachyphlodes	OTHER	Nguyen et al. 2016	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	SAP.LIG	Nagy et al. 2016;  Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Corticioid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia	OTHER	Nguyen et al. 2016	Pathotroph-Saprotroph-Symbiotroph	Epiphyte-Leaf Saprotroph-Lichen Parasite-Lichenized-Plant Pathogen-Wood Saprotroph	Possible	Corticioid-Thallus	NULL	Lichenized and non-lichenized taxa	"Adams GC, Kropp BR. 1996. Mycologia 88:459-472; Carisse O, et al. 2000. Biological Control 90:31-37; Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)}"
Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalotheca	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx}
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	SAP.LIG	Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	Agaricoid	White Rot	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	OTHER.MYCORRHIZA	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016; Martino et al. 2018	Pathotroph-Symbiotroph	Ericoid Mycorrhizal	Probable	Dark Septate Endophyte	NULL	NULL	Newsham 2011. New Phytologist 190:783-793 (as DSE)}
Fungi	Ascomycota	Leotiomycetes	Helotiales	sedis	Leohumicola	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016; Nguyen et al. 2016	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	OTHER.MYCORRHIZA	Smith and Read 2008	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531}"
Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	OTHER.MYCORRHIZA	Smith and Read 2008	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531}"
